point	title	description	icon
337862.7334,184542.04469	GM001	<a target='_new' href='static/monumenten/pdfs/GM001.pdf'>OPEN DOCUMENT</a>	gm.png
330295.700104,185426.025085	GM085	<a target='_new' href='static/monumenten/pdfs/GM085.pdf'>OPEN DOCUMENT</a>	gm.png
331733.733839,186481.089778	GM082	<a target='_new' href='static/monumenten/pdfs/GM082.pdf'>OPEN DOCUMENT</a>	gm.png
330802.85011,186575.735106	GM041	<a target='_new' href='static/monumenten/pdfs/GM041.pdf'>OPEN DOCUMENT</a>	gm.png
332321.35,185393.95	GM097	<a target='_new' href='static/monumenten/pdfs/GM097.pdf'>OPEN DOCUMENT</a>	gm.png
331739.579987,185432.601067	GM064	<a target='_new' href='static/monumenten/pdfs/GM064.pdf'>OPEN DOCUMENT</a>	gm.png
332575.092319,188783.727135	GM187	<a target='_new' href='static/monumenten/pdfs/GM187.pdf'>OPEN DOCUMENT</a>	gm.png
332594.726579,188931.250929	GM050	<a target='_new' href='static/monumenten/pdfs/GM050.pdf'>OPEN DOCUMENT</a>	gm.png
339689.157325,183345.582289	GM014	<a target='_new' href='static/monumenten/pdfs/GM014.pdf'>OPEN DOCUMENT</a>	gm.png
331748.818768,185649.395014	GM096	<a target='_new' href='static/monumenten/pdfs/GM096.pdf'>OPEN DOCUMENT</a>	gm.png
334996.76383,189824.544078	GM020	<a target='_new' href='static/monumenten/pdfs/GM020.pdf'>OPEN DOCUMENT</a>	gm.png
339215.381954,182002.13196	GM098	<a target='_new' href='static/monumenten/pdfs/GM098.pdf'>OPEN DOCUMENT</a>	gm.png
339219.923,182021.0825	GM099	<a target='_new' href='static/monumenten/pdfs/GM099.pdf'>OPEN DOCUMENT</a>	gm.png
334027.322288,188596.64509	GM016	<a target='_new' href='static/monumenten/pdfs/GM016.pdf'>OPEN DOCUMENT</a>	gm.png
330989.272176,185902.604721	GM034	<a target='_new' href='static/monumenten/pdfs/GM034.pdf'>OPEN DOCUMENT</a>	gm.png
