point	title	description	icon
337879,184689	Huis Born	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9903&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
338472,184444	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9904&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
338120,184580	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9906&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
337999,184593	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9907&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
341060,184137	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9908&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
339219,184541	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9909&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
339065,184683	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9910&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
340221,185494	Huis Holtum	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9912&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
339901,185708	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9914&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
339992,185582	complex	<a target='_blank' href='http://monumentenregister.cultureelerfgoed.nl/php/main.php?cAction=show&cOffset=0&cLimit=25&cOBJnr=9915&oOrder=ASC&cLast=1&oField=OBJ_RIJKSNUMMER&sCompMonNr=&sCompMonName=&sStatus=&sProvincie=&sGemeente=&sPlaats=&sStraat=&sHuisnummer=&sPostcode=&sFunctie=&sHoofdcategorie=&sSubcategorie=&sOmschrijving=&ID=0&oField=OBJ_RIJKSNUMMER'>open link</a>	rm.png
